product_id,name,root_price_vnd,discounted_price_vnd,battery_capacity_wh,cpu_threads,cpu_base_clock_ghz,ram_type,cpu_model,manufacturer,laptop_height_mm,laptop_width_mm,cpu_boost_clock_ghz,cpu_cores,ram_speed,refresh_rate_hz,ram_slots,vga_type,laptop_depth_mm,vga_vram_gb,laptop_camera
0220042002787__l250_20250402-105034,Laptop Lenovo Thinkpad X13 Ultra 5 125U/16GB/512GB/Win11 Pro (21LU004NVN),34990000,33990000,54.7,14,1.3,lpddr5,125u,lenovo,214.8,301.7,4.3,12,6400,60,0,card tích hợp,15.95,0,Full HD
0220042002788__l122_20250402-105034,Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 7 155H/32GB/1TB/Win11 (83DA0020VN),28690000,26190000,57,22,1.4,lpddr5,155h,lenovo,221,312,4.8,16,7467,60,0,card tích hợp,16.9,0,Full HD
0220042002789__l176_20250402-105034,Laptop Lenovo Yoga Pro 7 14IMH9 Ultra 7 155H/32GB/1TB/6GB RTX4050/120Hz/OfficeHS/Win11 (83E2005DVN),47290000,46990000,73,22,1.4,lpddr5,155h,lenovo,226.49,325.5,4.8,16,7467,120,0,card rời,16.6,6,Full HD
0220042002795__l73_20250402-105034,Laptop Asus Vivobook S 14 OLED S5406MA Ultra 5 125H/16GB/1TB/120Hz/Win11 (PP136W),26990000,24690000,75,18,1.2,lpddr5,125h,asus,221.9,310.5,4.5,14,7467,120,0,card tích hợp,15.9,0,Full HD
0220042002796__l119_20250402-105034,Laptop HP 240 G9 i3 1215U/8GB/512GB/Win11 (6L1X8PA),13690000,11190000,41.04,8,1.2,ddr4,1215u,hp,225.9,324,4.4,6,3200,60,2,card tích hợp,19.9,0,HD
0220042002797__l107_20250402-105034,Laptop Dell Vostro 3530 i5 1335U/16GB/512GB/120Hz/OfficeHS/Win11 (80GG93),19990000,18490000,41,12,1.3,ddr4,1335u,dell,235.56,358.5,4.6,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002798__l181_20250402-105034,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/120Hz/Office365/KYHD/Win11 (N5I7301W1),22390000,21490000,54,12,1.7,ddr4,1355u,dell,234.9,358.5,5,10,2666,120,2,card tích hợp,17.5,0,HD
0220042002800__l294_20250402-105034,Laptop Samsung Galaxy Chromebook Go XE340XDA N4500/4GB/32GB/ChromeOS,11990000,8990000,42.3,2,1.1,lpddr4,n4500,samsung,225.6,327.1,2.8,2,2933,60,0,card tích hợp,15.9,0,HD
0220042002801__l295_20250402-105034,Laptop Samsung Galaxy Chromebook Go XE310XDA N4500/4GB/32GB/ChromeOS,9990000,7990000,40.2,2,1.1,lpddr4,n4500,samsung,202.3,287.9,2.8,2,2933,60,0,card tích hợp,15.9,0,HD
0220042002803__l127_20250402-105034,Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/24GB/512GB/4GB RTX2050/144Hz/Win11 (83GS00DBVN),23490000,20190000,60,12,2.4,ddr5,12450hx,lenovo,258.7,359.86,4.4,8,4800,144,2,card rời,23.9,4,HD
0220042002806__l16_20250402-105034,Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (AG2J7AT),19590000,15890000,41,12,1.3,ddr4,1235u,hp,225.9,324,4.4,10,3200,60,2,card tích hợp,19.9,0,HD
0220042002807__l163_20250402-105034,Laptop HP Envy X360 14 fa0050AU R5 8640HS/16GB/512GB/Win11 (A29H8PA),28990000,26590000,59,12,3.5,lpddr5,8640hs,hp,218.9,313.3,4.9,6,6400,60,0,card tích hợp,16.9,0,Full HD
0220042002810__l113_20250402-105034,Laptop Dell Inspiron 15 3530 i5 1334U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (71043885),19990000,18490000,41,12,1.3,ddr4,1334u,dell,235.56,358.5,4.6,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002811__l141_20250402-105034,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/120Hz/OfficeHS/Win11 (71043888),22390000,21490000,54,12,1.7,ddr4,1355u,dell,235.56,358.5,5,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002812__l186_20250402-105034,Laptop Dell Inspiron 16 5640 Core 7 150U/16GB/1TB/2GB MX570A/OfficeHS/Win11 (KHPF5),29490000,29490000,54,12,1.8,ddr5,150u,dell,249.5,356.7,5.4,10,5200,60,2,card rời,19,2,Full HD
0220042002814__l77_20250402-105034,Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/16GB/512GB/120Hz/Win11 (MA467W),20990000,18190000,50,16,2.6,ddr4,13500h,asus,227.6,356.8,4.7,12,3200,120,2,card tích hợp,19.9,0,HD
0220042002815__l100_20250402-105034,Laptop Asus Vivobook 15 OLED A1505VA i9 13900H/16GB/512GB/120Hz/OfficeHS/Win11 (MA586WS),25990000,22590000,50,20,2.6,ddr4,13900h,asus,227.6,356.8,5.4,14,3200,120,2,card tích hợp,19.9,0,HD
0220042002821__l221_20250402-105034,Laptop Lenovo Gaming LOQ 15ARP9 R7 7435HS/24GB/512GB/8GB RTX4060/144Hz/Win11 (83JC003YVN),31490000,29190000,60,16,3.1,ddr5,7435hs,lenovo,258.7,359.86,4.5,8,4800,144,2,card rời,23.9,8,HD
0220042002817__l202_20250402-105034,Laptop Acer Aspire 3 A315 58 529V i5 1135G7/8GB/256GB/Win11 (NX.ADDSV.00N),10990000,10990000,36.7,8,2.4,ddr4,1135g7,acer,238.4,363.4,4.2,4,2400,60,1,card tích hợp,19.9,0,HD
0220042002819__l189_20250402-105034,Laptop Lenovo V15 G5 IRL Core 5 120U/16GB/512GB/Win11 (83HF0000VN),19890000,17890000,47,12,1.4,ddr5,120u,lenovo,235.8,359.2,5,10,5200,60,2,card tích hợp,18.3,0,HD
0220042002820__l311_20250402-105034,Laptop Lenovo Thinkpad X13 Ultra 7 155H/32GB/1TB/Win11 Pro (21LU004LVN),45590000,44590000,54.7,22,1.4,lpddr5,155h,lenovo,214.8,301.7,4.8,16,6400,60,0,card tích hợp,15.95,0,Full HD
0220042002968__l50_20250402-105034,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/Win11 (71053682),20590000,19990000,54,12,1.7,ddr4,1255u,dell,235.56,358.5,4.7,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002822__l253_20250402-105034,Laptop Asus Vivobook S 16 OLED M5606WA R9 AI HX 370/32GB/1TB/120Hz/OfficeHS/Win11 (MX072WS),33990000,30490000,75,24,2,lpddr5,hx 370,asus,246.9,353.6,5.1,12,7500,120,0,card tích hợp,13.9,0,Full HD
0220042002828__l177_20250402-105034,Laptop Lenovo V14 Core 5 120U/16GB/512GB/Win11 (83HD0001VN),19490000,17690000,47,12,1.4,ddr5,120u,lenovo,215.2,324.2,5,10,5200,60,2,card tích hợp,17.9,0,HD
0220042002829__l254_20250402-105034,Laptop Dell Inspiron 7440 Core 5 120U/16GB/1TB/OfficeHS/Win11 (N4I5006W1),30990000,28490000,54,12,1.4,ddr5,120u,dell,226.15,314,5,10,5200,60,2,card tích hợp,18.9,0,Full HD
0220042002830__l245_20250402-105034,Laptop Dell Inspiron 7440 Core 7 150U/16GB/1TB/OfficeHS/Win11 (N7440-C7U161W11IBU),33490000,30990000,64,12,1.8,ddr5,150u,dell,226.15,314,5.4,10,5200,60,2,card tích hợp,18.9,0,Full HD
0220042002831__l32_20250402-105034,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N3520-i5U165W11BLU-FP),16990000,16490000,41,12,1.3,ddr4,1235u,dell,235.56,358.5,4.4,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002833__l6_20250402-105034,Laptop Asus Vivobook 15 X1504ZA i5 1235U/16GB/512GB/Win11 (NJ1608W),16990000,14090000,42,12,1.3,ddr4,1235u,asus,232.5,359.7,4.4,10,3200,60,2,card tích hợp,17.9,0,HD
0220042002837__l99_20250402-105034,Laptop Acer Swift Lite 14 AI SFL14 51M 56HS Ultra 5 125U/16GB/512GB/Win11 (NX.J1HSV.002),19990000,18390000,58,14,1.3,ddr5,125u,acer,221.9,314.4,4.3,12,4800,60,2,card tích hợp,17.5,0,Full HD
0220042002843__l151_20250402-105034,Laptop Acer Swift Go SFG14 71 74CP i7 13700H/16GB/512GB/OfficeHS/Win11 (NX.KPZSV.004),28690000,28690000,65,20,2.4,lpddr5,13700h,acer,217.9,312.9,5,14,4800,90,0,card tích hợp,14.9,0,Full HD
0220042002844__l57_20250402-105034,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (N3520-i5U085W11SLU),15690000,14490000,41,12,1.3,ddr4,1235u,dell,235.56,358.5,4.4,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002846__l193_20250402-105034,Laptop Dell Inspiron 15 3530 i5 1334U/16GB/512GB/120Hz/OfficeHS/Win11 (P16WD2),19190000,18490000,41,12,1.3,ddr4,1334u,dell,235.6,358.5,4.6,10,2666,120,2,card tích hợp,19,0,HD
0220042002848__l256_20250402-105034,Laptop Asus Zenbook S 14 UX5406SA Ultra 7 258V/32GB/1TB/120Hz/OfficeHS/Win11 (PV140WS),44990000,40990000,72,8,2.2,lpddr5,258v,asus,214.7,310.3,4.8,8,8533,120,0,card tích hợp,12.9,0,Full HD
0220042002850__l45_20250402-105034,Laptop MSI Modern 15 F13MG i5 1335U/16GB/512GB/Win11 (082VN),17190000,14190000,45,12,1.3,ddr4,1335u,msi,235.9,358.9,4.6,10,3200,60,2,card tích hợp,19.9,0,HD
0220042002851__l319_20250402-105034,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I7240W1),22390000,21490000,54,12,1.7,ddr4,1355u,dell,235.56,358.5,5,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002852__l118_20250402-105034,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/1TB/120Hz/OfficeHS/Win11 (N3530-i7U161W11BLU-FP),23490000,22490000,54,12,1.7,ddr4,1355u,dell,235.56,358.5,5,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002853__l82_20250402-105034,Laptop HP Envy x360 14 fc0162TU Ultra 5 125U/16GB/512GB/OfficeHS/Win11 (AY8X1PA),29890000,27890000,59,14,1.3,lpddr5,125u,hp,218.9,313.3,4.3,12,6400,120,0,card tích hợp,16.9,0,Full HD
0220042002854__l222_20250402-105034,Laptop HP Probook 460 G11 Ultra 5 125U/16GB/512GB/Win11 (A74BTPT),23690000,22990000,56,14,1.3,ddr5,125u,hp,251.1,359.4,4.3,12,5600,60,2,card tích hợp,17,0,Full HD
0220042002855__l287_20250402-105034,Laptop HP Probook 460 G11 Ultra 7 155U/16GB/512GB/Win11 (A74C0PT),27690000,26990000,56,14,1.7,ddr5,155u,hp,251.1,359.4,4.8,12,5600,60,2,card tích hợp,17,0,Full HD
0220042002856__l106_20250402-105034,Laptop HP Elitebook 630 G11 Ultra 7 155U/16GB/512GB/Win11 (A7LC5PT),28390000,26990000,56,14,1.7,ddr5,155u,hp,215.1,303.1,4.8,12,5600,60,2,card tích hợp,17,0,Full HD
0220042002966__l97_20250402-105034,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/Win11 (N3520-i7U165W11BLU-FP),20990000,19990000,54,12,1.7,ddr4,1255u,dell,235.56,358.5,4.7,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002858__l320_20250402-105034,Laptop HP Elitebook X360 830 G11 Ultra 5 135U/16GB/512GB/Win11 Pro (A7RB9PT),43990000,40790000,56,14,1.6,lpddr5,135u,hp,216.1,300,4.4,12,7467,60,0,card tích hợp,16.2,0,Full HD
0220042002859__l312_20250402-105034,Laptop HP Elitebook X360 830 G11 Ultra 7 165U/16GB/512GB/Win11 Pro (A7RC0PT),48990000,45290000,56,14,1.7,lpddr5,165u,hp,216.1,300,4.9,12,7467,60,0,card tích hợp,16.2,0,Full HD
0220042002860__l313_20250402-105034,Laptop HP Envy X360 14 fa0097AU R5 8640HS/16GB/512GB/OfficeHS/Win11 (AY8U7PA),29590000,26690000,59,12,1.3,lpddr5,8640hs,hp,218.9,313.3,4.9,6,6400,120,0,card tích hợp,16.9,0,Full HD
0220042002861__l296_20250402-105034,Laptop HP Envy X360 14 fc0153TU Ultra 7 155U/32GB/512GB/OfficeHS/Win11 (AY8V4PA),35990000,33190000,59,14,1.7,lpddr5,155u,hp,218.9,313.4,4.8,12,6400,120,0,card tích hợp,16.9,0,Full HD
0220042002862__l278_20250402-105034,Laptop MacBook Pro 14 inch M4 16GB/512GB,39990000,39590000,72.4,10,3.5,lpddr5x,m4,apple,221.2,312.6,4.4,10,7500,120,0,card tích hợp,15.5,0,Full HD
0220042002863__l278_20250402-105034,Laptop MacBook Pro 14 inch M4 16GB/512GB,39990000,39590000,72.4,10,3.5,lpddr5x,m4,apple,221.2,312.6,4.4,10,7500,120,0,card tích hợp,15.5,0,Full HD
0220042002868__l279_20250402-105034,Laptop MacBook Pro 14 inch M4 Pro 24GB/512GB,49990000,48690000,72.4,14,3.8,lpddr5x,m4,apple,221.2,312.6,4.5,12,7500,120,0,card tích hợp,15.5,0,Full HD
0220042002869__l279_20250402-105034,Laptop MacBook Pro 14 inch M4 Pro 24GB/512GB,49990000,49390000,72.4,14,3.8,lpddr5x,m4,apple,221.2,312.6,4.5,12,7500,120,0,card tích hợp,15.5,0,Full HD
0220042002873__l283_20250402-105034,Laptop MacBook Pro 16 inch M4 Pro 24GB/512GB,64990000,64490000,100,14,3.8,lpddr5x,m4,apple,248.1,355.7,4.5,14,7500,120,0,card tích hợp,16.8,0,Full HD
0220042002874__l291_20250402-105034,Laptop MacBook Pro 16 inch M4 Pro 48GB/512GB,74990000,74490000,100,14,3.8,lpddr5x,m4,apple,248.1,355.7,4.5,14,7500,120,0,card tích hợp,16.8,0,Full HD
0220042002875__l291_20250402-105034,Laptop MacBook Pro 16 inch M4 Pro 48GB/512GB,74990000,74490000,100,14,3.8,lpddr5x,m4,apple,248.1,355.7,4.5,14,7500,120,0,card tích hợp,16.8,0,Full HD
0220042002876__l297_20250402-105034,Laptop MacBook Pro 16 inch M4 Max 36GB/1TB,89990000,87990000,100,16,4,lpddr5x,m4,apple,248.1,355.7,4.5,14,7500,120,0,card tích hợp,16.8,0,Full HD
0220042002877__l297_20250402-105034,Laptop MacBook Pro 16 inch M4 Max 36GB/1TB,89990000,87990000,100,16,4,lpddr5x,m4,apple,248.1,355.7,4.5,14,7500,120,0,card tích hợp,16.8,0,Full HD
0220042002878__l14_20250402-105034,Laptop MacBook Air 13 inch M2 16GB/256GB,24990000,21490000,52.6,8,3.2,lpddr5,m2,apple,215,304.1,3.5,8,6400,60,0,card tích hợp,11.3,0,Full HD
0220042002880__l14_20250402-105034,Laptop MacBook Air 13 inch M2 16GB/256GB,24990000,21490000,52.6,8,3.2,lpddr5,m2,apple,215,304.1,3.5,8,6400,60,0,card tích hợp,11.3,0,Full HD
0220042002881__l14_20250402-105034,Laptop MacBook Air 13 inch M2 16GB/256GB,24990000,21090000,52.6,8,3.2,lpddr5,m2,apple,215,304.1,3.5,8,6400,60,0,card tích hợp,11.3,0,Full HD
0220042002882__l261_20250402-105034,Laptop MacBook Air 13 inch M3 16GB/ 256GB,27990000,24190000,52.6,8,3.4,lpddr5,m3,apple,215,304.1,4.05,8,6400,60,0,card tích hợp,11.3,0,Full HD
0220042002883__l261_20250402-105034,Laptop MacBook Air 13 inch M3 16GB/ 256GB,27990000,24190000,52.6,8,3.4,lpddr5,m3,apple,215,304.1,4.05,8,6400,60,0,card tích hợp,11.3,0,Full HD
0220042002884__l261_20250402-105034,Laptop MacBook Air 13 inch M3 16GB/ 256GB,27990000,24190000,52.6,8,3.4,lpddr5,m3,apple,215,304.1,4.05,8,6400,60,0,card tích hợp,11.3,0,Full HD
0220042002967__l65_20250402-105034,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (25P2315),21090000,19990000,54,12,1.7,ddr4,1255u,dell,235.56,358.5,4.7,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002885__l261_20250402-105034,Laptop MacBook Air 13 inch M3 16GB/ 256GB,27990000,24190000,52.6,8,3.4,lpddr5,m3,apple,215,304.1,4.05,8,6400,60,0,card tích hợp,11.3,0,Full HD
0220042002891__l285_20250402-105034,Laptop MacBook Air 15 inch M3 16GB/256GB/10GPU,32990000,29190000,66.5,8,3.4,lpddr5,m3,apple,237.6,340.4,4.05,8,6400,60,0,card tích hợp,11.5,0,Full HD
0220042002892__l285_20250402-105034,Laptop MacBook Air 15 inch M3 16GB/256GB/10GPU,32990000,29190000,66.5,8,3.4,lpddr5,m3,apple,237.6,340.4,4.05,8,6400,60,0,card tích hợp,11.5,0,Full HD
0220042002893__l285_20250402-105034,Laptop MacBook Air 15 inch M3 16GB/256GB/10GPU,32990000,29190000,66.5,8,3.4,lpddr5,m3,apple,237.6,340.4,4.05,8,6400,60,0,card tích hợp,11.5,0,Full HD
0220042002898__l280_20250402-105034,Laptop MacBook Pro 14 inch M4 Pro 24GB/1TB,54990000,54990000,72.4,14,3.8,lpddr5x,m4,apple,221.2,312.6,4.5,12,7500,120,0,card tích hợp,15.5,0,Full HD
0220042002899__l280_20250402-105034,Laptop MacBook Pro 14 inch M4 Pro 24GB/1TB,54990000,54990000,72.4,14,3.8,lpddr5x,m4,apple,221.2,312.6,4.5,12,7500,120,0,card tích hợp,15.5,0,Full HD
0220042002903__l281_20250402-105034,Laptop MacBook Pro 14 inch M4 Pro 48GB/1TB,64990000,64990000,72.4,14,3.8,lpddr5x,m4,apple,221.2,312.6,4.5,12,7500,120,0,card tích hợp,15.5,0,Full HD
0220042002904__l290_20250402-105034,Laptop MacBook Pro 16 inch M4 Pro 24GB/1TB,69990000,69490000,100,14,3.8,lpddr5x,m4,apple,248.1,355.7,4.5,14,7500,120,0,card tích hợp,16.8,0,Full HD
0220042002911__l284_20250402-105034,Laptop MacBook Pro 14 inch Nano M4 16GB/512GB,43790000,42590000,72.4,10,3.5,lpddr5x,m4,apple,221.2,312.6,4.4,10,7500,120,0,card tích hợp,15.5,0,Full HD
0220042002912__l282_20250402-105034,Laptop MacBook Pro 14 inch Nano M4 Pro 24GB/512GB,53790000,52390000,72.4,14,3.8,lpddr5x,m4,apple,221.2,312.6,4.5,12,7500,120,0,card tích hợp,15.5,0,Full HD
0220042002914__l300_20250402-105034,Laptop MacBook Pro 14 inch Nano M4 Max 36GB/1TB,83790000,82090000,72.4,16,4,lpddr5x,m4,apple,221.2,312.6,4.5,14,7500,120,0,card tích hợp,15.5,0,Full HD
0220042002915__l300_20250402-105034,Laptop MacBook Pro 14 inch Nano M4 Max 36GB/1TB,83790000,82090000,72.4,16,4,lpddr5x,m4,apple,221.2,312.6,4.5,14,7500,120,0,card tích hợp,15.5,0,Full HD
0220042002916__l301_20250402-105034,Laptop Apple MacBook Pro 16 inch Nano M4 Pro 24GB/512GB,68790000,68490000,100,14,3.8,lpddr5x,m4,apple,248.1,355.7,4.5,14,7500,120,0,card tích hợp,16.8,0,Full HD
0220042002925__l286_20250402-105034,Laptop MacBook Air 13 inch M2 24GB/512GB,34990000,30790000,52.6,8,3.2,lpddr5,m2,apple,215,304.1,3.5,8,6400,60,0,card tích hợp,11.3,0,Full HD
0220042002926__l286_20250402-105034,Laptop MacBook Air 13 inch M2 24GB/512GB,34990000,30790000,52.6,8,3.2,lpddr5,m2,apple,215,304.1,3.5,8,6400,60,0,card tích hợp,11.3,0,Full HD
0220042002928__l267_20250402-105034,Laptop Asus Vivobook S 15 S5507QA X1E 78 100/32GB/1TB/OfficeHS/Win11 (MA090WS),34990000,28990000,70,12,0.7,lpddr5,x1e 78 100,asus,226.9,352.6,3.4,12,8448,120,0,card tích hợp,15.9,0,HD
0220042002932__l276_20250402-105034,Laptop MSI Stealth A16 AI+ A3XVGG R9 AI HX 370/32GB/2TB/8GB RTX4070/120Hz/Balo/Chuột/Win11 (208VN),72490000,72490000,99.9,24,2,lpddr5,hx 370,msi,259.7,355.8,5.1,12,7500,120,0,card rời,19.95,8,Full HD
0220042002933__l273_20250402-105034,Laptop MSI Prestige 16 AI+ B2VMG Ultra 9 288V/32GB/1TB/Win11 (016VN),45990000,45990000,99.9,8,3.3,lpddr5,288v,msi,254.4,358.4,5.1,8,8533,60,0,card tích hợp,18.95,0,Full HD
0220042002934__l271_20250402-105034,Laptop MSI Prestige 13 AI+ A2VMG Ultra 7 258V/32GB/1TB/Win11 (040VN),38990000,38990000,75,8,2.2,lpddr5,258v,msi,210,299,4.8,8,8533,60,0,card tích hợp,16.9,0,Full HD
0220042002935__l325_20250402-105034,Laptop Lenovo Yoga 7 2in1 14IML9 Ultra 5 125H/16GB/512GB/Touch/Office/Win11 (83DJ00DMVN),26990000,26990000,71,18,1.2,lpddr5,125h,lenovo,222.13,317.72,4.5,14,7467,60,0,card tích hợp,16.64,0,Full HD
0220042002936__l323_20250402-105034,Laptop Lenovo IdeaPad Flex 5 14ABR8 R7 7730U/16GB/512GB/Touch/Win11 (82XX00DLVN),18990000,18990000,52.5,16,2,lpddr4,7730u,lenovo,224.9,313.1,4.5,8,4266,60,0,card tích hợp,17.8,0,Full HD
0220042002937__l322_20250402-105034,Laptop Lenovo IdeaPad 5 2in1 14Q8X9 X1P 42 100/16GB/512GB/Win11 (83GH001FVN),25990000,23990000,57,8,3.2,lpddr5,x1p 42 100,lenovo,227,313,3.4,8,8448,60,0,card tích hợp,17.5,0,Full HD
0220042002938__l166_20250402-105034,Laptop Lenovo ThinkBook 16 G6 i5 13420H/16GB/512GB/Win11 (21KH00Q0VN),20590000,19090000,71,12,2.1,ddr5,13420h,lenovo,253.5,356,4.6,8,5200,60,2,card tích hợp,17.5,0,Full HD
0220042002939__l226_20250402-105034,Laptop Lenovo ThinkPad E14 Ultra 7 155H/32GB/1TB/Win11 (21M70051VN),33490000,33490000,47,22,1.4,ddr5,155h,lenovo,219.3,313,4.8,16,5600,60,2,card tích hợp,17.99,0,Full HD
0220042002942__l324_20250402-105034,Laptop Lenovo ThinkPad X1 Carbon Ultra 7 165U/64GB/1TB/120Hz/Win11 Pro (21KC00AGVN),65390000,65390000,57,14,1.7,lpddr5,165u,lenovo,214.75,312.8,4.9,12,6400,120,0,card tích hợp,14.96,0,Full HD
0220042002945__l230_20250402-105034,Laptop Lenovo IdeaPad Slim 5 14Q8X9 X1P 42 100/16GB/512GB/Win11 (83HL000KVN),24990000,23190000,57,8,3.2,lpddr5,x1p 42 100,lenovo,221,312,3.4,8,8448,60,0,card tích hợp,16.9,0,Full HD
0220042002946__l138_20250402-105034,Laptop Lenovo Gaming LOQ 15IRX9 i7 13650HX/24GB/512GB/6GB RTX4050/144Hz/Win11 (83DV00UGVN),32990000,29690000,60,20,2.6,ddr5,13650hx,lenovo,258.7,359.86,4.9,14,4800,144,2,card rời,23.9,6,HD
0220042002947__l17_20250402-105034,Laptop Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX/16GB/512GB/4GB RTX2050/144Hz/Win11 (83LK000BVN),19990000,17690000,57,12,2.4,ddr5,12450hx,lenovo,236,359.3,4.4,8,4800,144,1,card rời,22.95,4,HD
0220042002948__l114_20250402-105034,Laptop Lenovo ThinkBook 14 G6 i7 1355U/16GB/512GB/Win11 (21KG00BQVN),22990000,21590000,45,12,1.7,ddr5,1355u,lenovo,224,313.5,5,10,5200,60,2,card tích hợp,16.9,0,Full HD
0220042002949__l128_20250402-105034,Laptop Lenovo ThinkBook 16 G7 Ultra 7 155U/32GB/1TB/Win11 (21MS007HVN),30390000,28590000,45,14,1.7,ddr5,155u,lenovo,253.5,356,4.8,12,5600,60,2,card tích hợp,17.5,0,Full HD
0220042002950__l149_20250402-105034,Laptop Lenovo ThinkBook 14 G7 Ultra 7 155U/32GB/1TB/Win11 (21MR0070VN),30090000,28290000,45,14,1.7,ddr5,155u,lenovo,224,313.5,4.8,12,5600,60,2,card tích hợp,16.9,0,Full HD
0220042002951__l227_20250402-105034,Laptop Acer Swift AI SF14 51 53P9 Ultra 5 226V/16GB/1TB/Win11 (NX.J2KSV.002),34990000,34190000,65,8,2.1,lpddr5,226v,acer,221.2,312.4,4.5,8,8533,90,0,card tích hợp,15.95,0,Full HD
0220042002952__l239_20250402-105034,Laptop Acer Swift AI SF14 51 75VP Ultra 7 258V/32GB/1TB/Win11 (NX.J2KSV.001),39990000,39990000,65,8,2.2,lpddr5,258v,acer,221.2,312.4,4.8,8,8533,90,0,card tích hợp,15.95,0,Full HD
0220042002955__l140_20250402-105034,Laptop Dell Inspiron 14 5440 i5 1334U/16GB/512GB/OfficeHS/Win11 (NDY5V1),20990000,20490000,41,12,1.3,ddr5,1334u,dell,226.6,314,4.6,10,4400,60,2,card tích hợp,19.9,0,HD
0220042002962__l223_20250402-105034,Laptop Asus Vivobook S 14 S5406SA Ultra 5 226V/16GB/512GB/120Hz/OfficeHS/Win11 (PP060WS),28990000,25790000,75,8,2.1,lpddr5,226v,asus,221.9,310.5,4.5,8,7467,120,0,card tích hợp,15.9,0,Full HD
0220042002963__l262_20250402-105034,Laptop Asus Vivobook S 14 S5406SA Ultra 7 258V/32GB/1TB/120Hz/OfficeHS/Win11 (PP059WS),35990000,31990000,75,8,2.2,lpddr5,258v,asus,221.9,310.5,4.8,8,7467,120,0,card tích hợp,15.9,0,Full HD
0220042002969__l21_20250402-105034,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (N5I7125W1),20690000,19490000,54,12,1.7,ddr4,1255u,dell,235.56,358.5,4.7,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002970__l275_20250402-105034,Laptop Dell XPS 13 9340 Ultra 7 155H/16GB/1TB/OfficeHS/Win11 (HXRGT2),59990000,54490000,55,22,3.8,lpddr5,155h,dell,199,295.3,4.8,16,7467,120,0,card tích hợp,15.3,0,HD
0220042002971__l330_20250402-105034,Laptop Lenovo Yoga Slim 7 15ILL9 Ultra 7 258V/32GB/1TB/120Hz/OfficeHS/Win11 (83HM000GVN),42990000,41990000,70,8,2.2,lpddr5,258v,lenovo,235.4,343.8,4.8,8,8533,120,0,card tích hợp,13.9,0,Full HD
0220042002973__l327_20250402-105034,Laptop Lenovo Gaming Legion 7 16IRX9 i9 14900H/32GB/1TB/8GB RTX4070/165Hz/Win11,60990000,58990000,99.9,32,2.2,ddr5,14900hx,lenovo,262.5,357.7,5.8,24,5600,165,2,card rời,19.8,8,Full HD
0220042002976__l328_20250402-105034,Laptop Lenovo Yoga Pro 7 14ASP9 R9 AI 365/32GB/1TB/120Hz/OfficeHS/Win11 (83HN0022VN),41990000,39990000,73,20,2,lpddr5,365,lenovo,226.49,325.5,5,10,7500,120,0,card tích hợp,16.6,0,Full HD
0220042002978__l104_20250402-105034,Laptop Lenovo ThinkPad E14 Gen 6 Ultra 5 125U/32GB/1TB/Win11 (21M7004LVN),26190000,25690000,47,14,1.3,ddr5,125u,lenovo,219.3,313,4.3,12,5600,60,2,card tích hợp,17.99,0,Full HD
0220042002979__l79_20250402-105034,Laptop Acer Aspire Lite 16 G2 AL16 52P 76DU i7 1355U/16GB/512GB/Win11 (NX.J2SSV.005),17990000,16990000,58,12,1.7,ddr5,1355u,acer,247,357.6,5,10,4800,60,2,card tích hợp,18.9,0,Full HD
0220042002980__l68_20250402-105034,Laptop Acer Aspire Lite 16 G2 AL16 52P 572A i5 1334U/16GB/512GB/Win11 (NX.J2SSV.004),14790000,14090000,58,12,1.3,ddr5,1334u,acer,247,357.6,4.6,10,4800,60,2,card tích hợp,18.9,0,Full HD
