product_id,name,root_price_vnd,discounted_price_vnd,battery_capacity_wh,cpu_threads,cpu_base_clock_ghz,ram_type,cpu_model,manufacturer,laptop_height_mm,laptop_width_mm,cpu_boost_clock_ghz,cpu_cores,ram_speed,refresh_rate_hz,ram_slots,vga_type,laptop_depth_mm,vga_vram_gb,laptop_camera
0220042002640__l308_20250402-105034,Laptop HP Gaming VICTUS 16 r0228TX i5 13500H/32GB/512GB/6GB RTX4050/144Hz/Win11 (9Q979PA),33290000,33290000,70,16,2.6,ddr5,13500h,hp,259.4,369,4.7,12,5200,144,2,card rời,23.9,6,Full HD
0220042002641__l309_20250402-105034,Laptop HP Gaming VICTUS 16 r0227TX i5 13500H/32GB/512GB/8GB RTX4060/144Hz/Win11 (9Q978PA),34890000,34890000,70,16,2.6,ddr5,13500h,hp,259.4,369,4.7,12,5200,144,2,card rời,23.9,8,Full HD
0220042002645__l299_20250402-105034,Laptop HP Gaming OMEN 16 xf0070AX R9 7940HS/32GB/1TB/8GB RTX4070/240Hz/Win11 (8W945PA),62890000,62890000,83,16,4,ddr5,7940hs,hp,259.4,369,5.2,8,5600,240,2,card rời,23.5,8,Full HD
0220042002646__l307_20250402-105034,Laptop HP Elitebook 630 G10 i5 1335U/16GB/512GB/Win11 (9J0B5PT),24390000,23290000,42,12,1.3,ddr4,1335u,hp,208.4,306.9,4.6,10,3200,60,2,card tích hợp,15.9,0,HD
0220042002650__l205_20250402-105034,Laptop Dell Vostro 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (i5U165W11GRU),16990000,16490000,41,12,1.3,ddr4,1235u,dell,235.56,358.5,4.4,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002653__l244_20250402-105034,Laptop Asus Zenbook 14 OLED UX3405MA Ultra 9 185H/32GB/1TB/120Hz/Win11 (PP475W),36990000,33990000,75,22,3.9,lpddr5,185h,asus,220.1,312.4,5.1,16,4800,120,0,card tích hợp,14.9,0,Full HD
0220042002659__l235_20250402-105034,Laptop HP Gaming VICTUS 16 r0127TX i7 13700H/16GB/512GB/8GB RTX4060/144Hz/Win11 (8C5N2PA),38390000,34290000,70,20,2.4,ddr5,13700h,hp,259.4,369,5,14,5200,144,2,card rời,23.9,8,Full HD
0220042002679__l251_20250402-105034,Laptop MSI Creator M16 HX C14VFG i7 14700HX/32GB/1TB/8GB RTX4060/240Hz/Win11 (040VN),45990000,45990000,65,28,2.1,ddr5,14700hx,msi,266.44,359,5.5,20,5600,240,2,card rời,21.81,8,HD
0220042002660__l188_20250402-105034,Laptop Acer Swift Go 14 AI SFG14 73 53X7 Ultra 5 125H/16GB/512GB/Win11 (NX.KSLSV.001),23990000,22990000,65,18,3.6,lpddr5,125h,acer,217.9,312.9,4.5,14,6400,120,0,card tích hợp,14.9,0,Full HD
0220042002661__l212_20250402-105034,Laptop Acer Swift Go 14 AI SFG14 73 71ZX Ultra 7 155H/16GB/512GB/Win11 (NX.KSLSV.002),26990000,25790000,65,22,1.4,lpddr5,155h,acer,217.9,312.9,4.8,16,6400,120,0,card tích hợp,14.9,0,Full HD
