root-laptop_id,child-laptop_id,child_laptop_name,child_laptop_image,child_laptop_link,child_laptop_color,child_laptop_price,special_features
78365,78366,Laptop Asus TUF Gaming A15 FA506NC-HN011W -Đen,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/l/a/laptop-asus-tuf-gaming-a15-fa506nc-hn011w_-_sao_ch_p.png,/laptop-asus-tuf-gaming-a15-fa506nc-hn011w.html?product_id=78366,Đen,16.990.000₫,"['Màn hình 15.6 inch rộng rãi, tần số quét 144 Hz bắt kịp mọi chuyển động của đối thủ', 'Với bộ vi xử lý R5-7535HS mạnh mẽ, RAM\xa08GB và đồ họa RTX 3050 hiệu năng cao, bạn có thể chơi các trò chơi đòi hỏi cấu hình cao một cách mượt mà', 'Ổ cứng 512 GB rộng rãi, hỗ trợ lưu trữ game thoải mái', 'Thiết kế với vẻ ngoài hầm hố, đậm chất gaming, tạo nên sự ấn tượng mạnh mẽ ngay từ cái nhìn đầu tiên']"
71767,72927,Macbook Pro 16 M3 Pro 36GB - 512GB | Chính hãng Apple Việt Nam-Bạc,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook-pro-16-inch-m3-pro-2023-36gb-512gb_1_.png,/macbook-pro-16-inch-m3-pro-2023-36gb-512gb.html?product_id=72927,Bạc,57.990.000₫,"['Thiết kế sang trọng, thời thượng với mặt lưng nhôm cùng trọng lượng chỉ 1.55kg', 'Xử lý moi tác vụ với con chip M3 Pro cùng 18 nhân GPU', 'Chất lượng hiển thị hàng đầu - màn hình 16.2 inch tấm nền retina', 'Bàn phím trang bị Touch ID cho phép mở khoá chỉ với 1 chạm', 'Tận hưởng chất lượng âm thanh chân thật với hệ thống 6 loa cùng công nghệ Dolby Atmos']"
71767,72928,Macbook Pro 16 M3 Pro 36GB - 512GB | Chính hãng Apple Việt Nam-Đen,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook-pro-16-inch-m3-pro-2023-36gb-512gb_2_.png,/macbook-pro-16-inch-m3-pro-2023-36gb-512gb.html?product_id=72928,Đen,57.990.000₫,"['Thiết kế sang trọng, thời thượng với mặt lưng nhôm cùng trọng lượng chỉ 1.55kg', 'Xử lý moi tác vụ với con chip M3 Pro cùng 18 nhân GPU', 'Chất lượng hiển thị hàng đầu - màn hình 16.2 inch tấm nền retina', 'Bàn phím trang bị Touch ID cho phép mở khoá chỉ với 1 chạm', 'Tận hưởng chất lượng âm thanh chân thật với hệ thống 6 loa cùng công nghệ Dolby Atmos']"
70293,70294,Laptop Acer Aspire 7 A715-76G-59MW-Đen,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14__3_4.png,/laptop-acer-aspire-7-a715-76g-59mw.html?product_id=70294,Đen,15.290.000₫,"['Chip Intel Core i5 12450H cùng card RTX 2050 4 GB không chỉ mượt mà mọi tác vụ văn phòng, mà còn cho bạn thoả sức chiến các tựa game yêu thích', 'RAM 8 GB được hỗ trợ nâng cấp tối đa 32 GB thoải mái thao tác với nhiều tác vụ, chơi game', 'Ổ cứng SSD 512 GB cho phép lưu trữ nhiều tệp tin, tài liệu vừa tăng tốc độ khởi động hệ thống lên đáng kể', 'Màn hình 15.6 inch Full HD mang đến không gian hiển thị tương đối rộng và rõ nét', 'Tần số quét 144 Hz giúp khung hình chuyển động trơn tru, hỗ trợ game thủ phản ứng nhanh chóng']"
100678,100679,Laptop Lenovo IdeaPad Slim 3 14IRH10 83K0000AVN-Xám,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_5__8_56.png,/laptop-lenovo-ideapad-slim-3-14irh10-83k0000avn.html?product_id=100679,Xám,16.490.000₫,"['Trang bị vi xử lý Intel Core i5-13420H, mang đến hiệu suất mạnh mẽ cho công việc và giải trí.', 'Với 24GB RAM, máy cho phép đa nhiệm mượt mà và xử lý các ứng dụng nặng một cách dễ dàng.', 'Ổ cứng SSD 512GB PCIe cung cấp không gian lưu trữ rộng rãi và tốc độ truy xuất nhanh chóng.', 'Màn hình 14.0 inch WUXGA cho hình ảnh sắc nét, giúp người dùng tận hưởng trải nghiệm xem phim và làm việc hiệu quả.']"
91515,91516,Laptop Lenovo ThinkPad E16 Gen 1 21JN00GJVN-Đen,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_-_2024-09-21t213107.195_1.png,/laptop-lenovo-thinkpad-e16-gen-1-21jn00gjvn.html?product_id=91516,Đen,18.990.000₫,"['Trang bị bộ xử lý Intel Core i5-13420H, cho hiệu năng mạnh mẽ trong công việc và giải trí.', 'Màn hình 16 inch với độ phân giải WUXGA cung cấp không gian làm việc rộng rãi và hình ảnh sắc nét.', 'Bộ nhớ RAM 16GB và ổ cứng SSD 512GB PCIe đảm bảo khả năng đa nhiệm mượt mà và tốc độ khởi động, truy xuất dữ liệu nhanh chóng.', 'Thiết kế màu đen đặc trưng của dòng ThinkPad mang đến vẻ ngoài chuyên nghiệp và sang trọng, phù hợp với môi trường công sở.']"
84437,84453,Laptop Lenovo LOQ 15ARP9 83JC003VVN-Xám,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__6_13.png,/laptop-lenovo-loq-15arp9-83jc003vvn.html?product_id=84453,Xám,24.990.000₫,"['Trang bị CPU AMD Ryzen 7 7435HS mạnh mẽ cùng card đồ họa rời NVIDIA GeForce RTX 4050 6GB, mang đến trải nghiệm chơi game mượt mà ở mức cài đặt cao.', 'Tận hưởng hình ảnh sắc nét, chuyển động mượt mà với tần số quét 144Hz, loại bỏ hiện tượng giật lag, xé hình.', 'Ổ cứng SSD 512GB PCIe cho phép bạn lưu trữ thoải mái dữ liệu và truy cập ứng dụng nhanh chóng.', 'Lớp vỏ màu xám mạnh mẽ, bàn phím full-size với đèn nền RGB cá tính, tạo nên phong cách gaming nổi bật.', 'Trải nghiệm hệ điều hành Windows mới nhất với giao diện hiện đại, nhiều tính năng thông minh và bảo mật nâng cao.']"
96429,96432,Laptop Lenovo IdeaPad 1 14ALC7 82R30099VN-Xám,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_32__7_19.png,/laptop-lenovo-ideapad-1-14alc7-82r30099vn.html?product_id=96432,Xám,11.490.000₫,"['Bộ vi xử lý AMD Ryzen 5 5625U, mang lại hiệu suất tốt cho các tác vụ văn phòng và giải trí hàng ngày.', '16GB RAM và 512GB PCIe SSD, IdeaPad 1 cung cấp không gian lưu trữ rộng rãi và khả năng truy xuất dữ liệu nhanh chóng, đáp ứng nhu cầu sử dụng đa dạng.', 'Màn hình 14.0 inch Full HD mang đến hình ảnh rõ nét và màu sắc sống động, lý tưởng cho việc xem phim và làm việc.', 'Với kiểu dáng gọn gàng và màu xám sang trọng, laptop dễ dàng mang theo trong balo, phù hợp cho người dùng di chuyển nhiều.']"
83878,83879,Laptop Lenovo LOQ 15ARP9 83JC003YVN-Xám,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__6_16.png,/laptop-lenovo-loq-15arp9-83jc003yvn.html?product_id=83879,Xám,28.490.000₫,"['Trang bị bộ vi xử lý AMD Ryzen 7 7435HS mạnh mẽ cùng card đồ họa rời NVIDIA GeForce RTX 4060 8GB mang đến hiệu năng đỉnh cao cho cả nhu cầu chơi game và làm việc đồ họa.', 'Màn hình 15.6 inch FHD với tần số quét 144Hz cho phép bạn thưởng thức hình ảnh sắc nét, chuyển động mượt mà trong từng khung hình, đặc biệt là khi chơi game.', '24GB RAM DDR5 giúp bạn dễ dàng xử lý nhiều tác vụ cùng lúc mà không gặp tình trạng giật lag.', 'Ổ cứng SSD 512GB PCIe cho tốc độ truy xuất dữ liệu nhanh chóng, rút ngắn thời gian khởi động máy và mở ứng dụng.', 'Sở hữu thiết kế đậm chất gaming với tông màu xám chủ đạo, LOQ 15ARP9 toát lên vẻ ngoài mạnh mẽ và cá tính.']"
79358,79360,Laptop Dell Vostro 3520 F0V0VI3-Đen,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__5_37.png,/laptop-dell-vostro-3520-f0v0vi3.html?product_id=79360,Đen,10.490.000₫,"['Sở hữu thiết kế thanh lịch và đầy chuyên nghiệp, màu đen làm tăng vẻ sang trọng', 'Trang bị vi xử lý Intel Core i3-1215U đem lại hiệu năng ổn định cho công việc hàng ngày và xử lý đa nhiệm mượt mà', 'Bộ nhớ RAM 8GB và ổ cứng SSD PCIe 512GB giúp khởi động và truy cập dữ liệu nhanh chóng', 'Màn hình 15.6 inch FHD tạo ra hình ảnh sắc nét, giúp nâng cao trải nghiệm làm việc và giải trí']"
76013,76016,Laptop Gaming Acer Nitro V ANV15-51-55CA-Đen,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/l/a/laptop-gaming-acer-nitro-v-anv15-51-55ca-1_1.jpg,/laptop-gaming-acer-nitro-v-anv15-51-55ca.html?product_id=76016,Đen,24.690.000₫,"['Trang bị CPU Intel Core i5-13420H xử lý nhanh chóng mọi tác vụ văn phòng hay\xa0tận hưởng các tựa game từ AAA đến game Esport.', 'Bộ nhớ RAM 16 GB DDR5 cho khả năng xử lý đa nhiệm và đa tác vụ của máy càng được tăng tốc tối đa.', 'Card đồ họa\xa0RTX 4050 tối ưu hiệu suất và năng lượng,\xa0chiến mượt các tựa game AAA với mức đồ họa từ\xa0Medium/High trở lên.', 'Tận hưởng các cuộc phiêu lưu, giải trí sống động trên màn hình 15.6 inch FHD, cùng tần số quét chuẩn chiến game 144 Hz.']"
87873,87875,Laptop Lenovo LOQ 15IRX9 83DV00UFVN-Xám,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__6_77.png,/laptop-lenovo-loq-15irx9-83dv00ufvn.html?product_id=87875,Xám,31.490.000₫,"['Trang bị bộ vi xử lý Intel Core i7-13650HX, một con chip mạnh mẽ, mang lại hiệu suất cao cho người dùng.', 'Máy có 24GB RAM cho phép chạy đa nhiệm mượt mà và đáp ứng tốt các tác vụ đòi hỏi nhiều tài nguyên.', 'Ổ cứng SSD 512GB PCIe mang lại tốc độ khởi động và truy xuất dữ liệu nhanh chóng.', 'Card đồ họa rời NVIDIA GeForce RTX 4060 với 8GB cho khả năng xử lý đồ họa và chơi game ấn tượng.', 'Màn hình 15.6 inch Full HD 144Hz mang lại chất lượng hiển thị sắc nét và trải nghiệm mượt mà khi xem phim, chơi game.']"
